order_date,city,restaurant_category,cuisine,order_value,discount_percent,delivery_time_min,rating,profit_per_order
2023-01-03,Karachi,Dessert,Sweets,455.0,5.1,47.5,4.2,50.0
2023-01-04,Lahore,Fast Food,Sandwiches,697.0,14.8,31.0,4.7,95.0
2023-01-04,Islamabad,Fast Food,Burgers,801.0,21.6,21.4,4.2,46.0
2023-01-04,Karachi,Cafe,Bakery,1550.0,12.1,22.1,5.0,300.0
2023-01-04,Islamabad,Fast Food,Pizza,518.0,7.8,36.8,4.6,93.0
2023-01-05,Karachi,Fast Food,Burgers,573.0,5.3,26.2,4.8,85.0
2023-01-05,Karachi,Fast Food,Burgers,458.0,5.9,24.3,4.8,45.0
2023-01-05,Karachi,Cloud Kitchen,Biryani,1222.0,18.6,32.3,3.9,122.0
2023-01-05,Islamabad,Cloud Kitchen,Italian,852.0,15.5,41.7,4.2,62.0
2023-01-05,Faisalabad,Fast Food,Pizza,507.0,7.9,20.5,5.0,140.0
2023-01-05,Karachi,Fast Food,Burgers,807.0,5.0,37.7,4.8,140.0
2023-01-05,Multan,Fast Food,Fried Chicken,785.0,20.7,37.7,4.5,21.0
2023-01-05,Lahore,Cafe,Coffee & Snacks,535.0,16.7,24.0,4.0,15.0
2023-01-05,Lahore,Fast Food,Fried Chicken,1112.0,38.8,36.7,4.9,-15.0
2023-01-05,Islamabad,Fine Dining,Seafood,4297.0,14.4,32.0,4.5,475.0
2023-01-06,Karachi,Fast Food,Fried Chicken,1794.0,5.5,38.0,4.6,413.0
2023-01-06,Islamabad,Cloud Kitchen,Italian,3918.0,14.2,26.9,4.3,555.0
2023-01-06,Islamabad,Cafe,Bakery,423.0,25.2,33.6,5.0,30.0
2023-01-06,Multan,Dessert,Ice Cream,489.0,10.3,37.0,4.8,34.0
2023-01-06,Multan,Fast Food,Burgers,531.0,1.6,35.1,4.5,120.0
2023-01-06,Islamabad,Fast Food,Pizza,455.0,4.8,30.7,4.7,47.0
2023-01-07,Lahore,Cafe,Sandwiches,435.0,25.8,38.3,4.7,10.0
2023-01-07,Lahore,Fine Dining,Seafood,2357.0,8.2,88.8,4.7,255.0
2023-01-07,Faisalabad,Cloud Kitchen,Indian,2145.0,13.5,33.7,4.8,331.0
2023-01-07,Lahore,Fast Food,Fried Chicken,531.0,6.8,27.2,4.6,11.0
2023-01-07,Karachi,Fine Dining,Fusion,1623.0,11.0,25.3,4.2,211.0
2023-01-08,Lahore,Dessert,Ice Cream,341.0,14.8,27.7,4.9,43.0
2023-01-08,Islamabad,Fast Food,Burgers,522.0,16.4,105.0,3.0,-6.0
2023-01-08,Lahore,Cafe,Breakfast,381.0,7.7,27.5,5.0,41.0
2023-01-08,Lahore,Fast Food,Burgers,239.0,2.5,22.8,5.0,-35.0
2023-01-08,Islamabad,Cloud Kitchen,Italian,702.0,4.1,33.7,4.6,79.0
2023-01-09,Islamabad,Cafe,Sandwiches,403.0,26.5,21.5,5.0,21.0
2023-01-09,Lahore,Fast Food,Pizza,847.0,5.0,27.9,5.0,163.0
2023-01-09,Lahore,Cafe,Bakery,494.0,4.3,20.2,4.8,74.0
2023-01-09,Lahore,Cafe,Coffee & Snacks,13731.144318588968,4.7,36.4,3.8,-5014.271363943467
2023-01-10,Faisalabad,Cafe,Breakfast,1098.0,22.3,40.4,4.4,127.0
2023-01-10,Karachi,Fast Food,Sandwiches,523.0,33.7,32.0,4.7,48.0
2023-01-10,Faisalabad,Cafe,Breakfast,531.0,17.5,26.7,4.7,7.0
2023-01-10,Karachi,Cafe,Breakfast,742.0,24.8,21.0,5.0,63.0
2023-01-10,Lahore,Dessert,Cakes,463.0,6.0,29.2,4.4,78.0
2023-01-10,Multan,Cafe,Breakfast,441.0,8.9,20.0,5.0,10.0
2023-01-10,Faisalabad,Dessert,Cakes,179.0,27.3,28.8,5.0,-48.0
2023-01-10,Karachi,Cafe,Bakery,692.0,0.9,44.2,4.5,115.0
2023-01-11,Lahore,Cloud Kitchen,Italian,1554.0,6.4,25.1,5.0,245.0
2023-01-11,Karachi,Fast Food,Fried Chicken,303.0,12.7,36.7,4.4,-32.0
2023-01-11,Karachi,Cafe,Bakery,596.0,6.3,25.6,5.0,60.0
2023-01-11,Karachi,Cafe,Breakfast,577.0,6.4,23.2,4.5,163.0
2023-01-11,Faisalabad,Dessert,Ice Cream,445.0,35.2,31.3,4.3,-10.0
2023-01-12,Karachi,Fine Dining,Continental,2593.0,2.9,28.2,4.6,446.0
2023-01-12,Lahore,Cloud Kitchen,Italian,2027.0,10.0,43.1,4.6,296.0
2023-01-12,Multan,Cafe,Coffee & Snacks,1008.0,15.3,41.5,4.7,88.0
2023-01-12,Faisalabad,Cloud Kitchen,Italian,1691.0,2.6,42.5,4.2,331.0
2023-01-12,Karachi,Cafe,Coffee & Snacks,782.0,1.2,32.9,4.3,117.0
2023-01-12,Lahore,Cloud Kitchen,Biryani,2208.0,11.9,36.6,4.1,243.0
2023-01-12,Islamabad,Cloud Kitchen,Indian,1055.0,8.0,24.2,4.4,112.0
2023-01-13,Islamabad,Fast Food,Pizza,534.0,14.8,10.0,5.0,35.0
2023-01-13,Karachi,Dessert,Bakery,169.0,9.1,30.8,4.7,-41.0
2023-01-13,Islamabad,Cafe,Bakery,553.0,14.0,47.4,4.6,8.0
2023-01-13,Karachi,Cafe,Coffee & Snacks,922.0,42.1,20.7,4.8,-39.0
2023-01-13,Lahore,Cloud Kitchen,Indian,2191.0,8.9,28.2,4.5,378.0
2023-01-13,Islamabad,Fast Food,Sandwiches,389.0,15.7,32.6,4.5,34.0
2023-01-13,Lahore,Cafe,Bakery,305.0,0.8,45.6,4.0,91.0
2023-01-13,Faisalabad,Cloud Kitchen,Chinese,2817.0,12.7,27.4,4.3,374.0
2023-01-13,Faisalabad,Cloud Kitchen,Chinese,955.0,13.8,28.7,4.6,155.0
2023-01-13,Multan,Cloud Kitchen,Indian,586.0,25.5,26.5,4.3,1.0
2023-01-13,Lahore,Fast Food,Fried Chicken,559.0,27.8,41.3,4.5,-61.0
2023-01-13,Karachi,Fast Food,Sandwiches,1289.0,14.9,23.9,4.7,162.0
2023-01-14,Faisalabad,Cloud Kitchen,Chinese,2623.0,13.2,27.0,4.5,330.0
2023-01-14,Karachi,Fine Dining,Seafood,1786.0,8.5,28.9,5.0,255.0
2023-01-14,Lahore,Fast Food,Fried Chicken,1216.0,20.9,35.6,4.2,121.0
2023-01-14,Lahore,Cloud Kitchen,Indian,1118.0,2.4,27.1,4.9,256.0
2023-01-14,Islamabad,Dessert,Bakery,429.0,9.3,36.2,4.6,35.0
2023-01-14,Lahore,Dessert,Cakes,281.0,15.0,32.3,4.5,2.0
2023-01-14,Multan,Fine Dining,Steakhouse,2457.0,17.4,44.6,4.6,203.0
2023-01-14,Karachi,Fast Food,Burgers,1049.0,12.6,22.4,4.7,193.0
2023-01-14,Multan,Cloud Kitchen,Indian,1197.0,1.8,102.9,2.4,171.0
2023-01-15,Islamabad,Cloud Kitchen,Chinese,2184.0,28.8,37.1,4.9,50.0
2023-01-15,Multan,Dessert,Sweets,716.0,7.5,37.0,4.1,145.0
2023-01-15,Karachi,Fine Dining,Continental,3085.0,1.9,43.2,4.2,550.0
2023-01-15,Islamabad,Cloud Kitchen,Biryani,696.0,4.4,27.8,4.6,136.0
2023-01-15,Karachi,Cafe,Coffee & Snacks,694.0,9.1,34.6,4.5,130.0
2023-01-15,Lahore,Fine Dining,Continental,3231.0,15.8,25.0,4.8,344.0
2023-01-16,Islamabad,Fast Food,Sandwiches,813.0,26.4,44.4,4.4,56.0
2023-01-16,Faisalabad,Fast Food,Sandwiches,816.0,5.1,29.6,4.8,106.0
2023-01-17,Karachi,Cafe,Sandwiches,491.0,9.7,23.9,4.6,71.0
2023-01-17,Karachi,Fast Food,Pizza,993.0,33.5,25.7,4.2,-32.0
2023-01-17,Karachi,Dessert,Bakery,516.0,8.5,19.0,4.8,98.0
2023-01-17,Karachi,Fast Food,Burgers,495.0,24.3,29.4,4.5,-42.0
2023-01-17,Lahore,Dessert,Bakery,657.0,18.1,29.2,4.9,93.0
2023-01-17,Lahore,Fast Food,Pizza,365.0,3.7,45.1,3.7,77.0
2023-01-17,Karachi,Fast Food,Pizza,698.0,2.3,28.4,4.3,107.0
2023-01-17,Islamabad,Cafe,Breakfast,601.0,16.5,26.7,4.4,8.0
2023-01-17,Multan,Fine Dining,Steakhouse,1448.0,4.4,43.6,4.0,160.0
2023-01-18,Multan,Fast Food,Pizza,1112.0,45.0,31.5,4.8,-63.0
2023-01-18,Lahore,Cloud Kitchen,Chinese,620.0,6.9,47.6,4.2,12.0
2023-01-18,Karachi,Fast Food,Fried Chicken,707.0,19.1,21.1,5.0,86.0
2023-01-18,Lahore,Fine Dining,Seafood,3654.0,35.9,26.2,4.6,-99.0
2023-01-18,Faisalabad,Fast Food,Burgers,501.0,29.6,49.7,3.9,-97.0
2023-01-18,Lahore,Fast Food,Sandwiches,537.0,2.2,31.3,4.0,66.0
2023-01-18,Islamabad,Cloud Kitchen,Biryani,1451.0,27.2,26.2,4.5,76.0
2023-01-18,Lahore,Dessert,Ice Cream,366.0,26.6,37.1,4.8,-45.0
2023-01-19,Lahore,Dessert,Bakery,270.0,28.5,32.7,4.7,-4.0
2023-01-20,Karachi,Cafe,Coffee & Snacks,150.0,12.8,28.2,4.7,33.0
2023-01-20,Faisalabad,Cafe,Bakery,343.0,4.6,32.6,4.2,-16.0
2023-01-20,Karachi,Fine Dining,Seafood,3419.0,8.4,20.4,4.3,462.0
2023-01-20,Multan,Cloud Kitchen,Chinese,1009.0,9.8,17.7,5.0,145.0
2023-01-20,Karachi,Dessert,Cakes,667.0,5.3,37.0,4.0,74.0
2023-01-20,Islamabad,Cloud Kitchen,Italian,1280.0,11.0,37.9,4.6,114.0
2023-01-20,Lahore,Cafe,Sandwiches,681.0,16.5,33.9,4.1,29.0
2023-01-20,Lahore,Fine Dining,Continental,2293.0,5.8,23.3,4.1,430.0
2023-01-20,Lahore,Fast Food,Fried Chicken,656.0,4.9,28.2,4.8,60.0
2023-01-20,Lahore,Cafe,Bakery,541.0,28.3,25.4,4.4,61.0
2023-01-20,Lahore,Dessert,Sweets,504.0,5.9,53.5,4.4,117.0
2023-01-21,Karachi,Cloud Kitchen,Biryani,1143.0,17.0,35.3,4.7,34.0
2023-01-21,Islamabad,Fast Food,Sandwiches,924.0,5.9,27.8,4.2,139.0
2023-01-21,Lahore,Cloud Kitchen,Indian,878.0,4.6,38.3,4.2,164.0
2023-01-21,Islamabad,Cafe,Coffee & Snacks,942.0,12.0,37.2,4.5,88.0
2023-01-21,Lahore,Cafe,Sandwiches,341.0,10.5,79.5,5.0,-58.0
2023-01-21,Islamabad,Cafe,Sandwiches,497.0,7.0,13.1,4.9,86.0
2023-01-22,Multan,Cafe,Sandwiches,520.0,13.2,31.6,5.0,24.0
2023-01-22,Lahore,Fast Food,Pizza,414.0,6.2,29.5,5.0,-65.0
2023-01-22,Multan,Fast Food,Sandwiches,501.0,27.3,34.0,4.5,35.0
2023-01-22,Karachi,Fine Dining,Steakhouse,739.0,3.0,25.9,4.8,68.0
2023-01-22,Lahore,Fast Food,Pizza,322.0,9.7,82.8,4.8,-23.0
2023-01-22,Karachi,Cloud Kitchen,Italian,4324.0,7.5,24.8,4.2,838.0
2023-01-23,Karachi,Cloud Kitchen,Italian,1329.0,7.5,17.9,5.0,177.0
2023-01-23,Multan,Cafe,Coffee & Snacks,306.0,7.7,43.1,4.1,6.0
2023-01-23,Lahore,Cloud Kitchen,Indian,1172.0,11.4,27.1,4.6,194.0
2023-01-23,Lahore,Fine Dining,Steakhouse,894.0,10.4,26.8,4.8,59.0
2023-01-23,Lahore,Cafe,Coffee & Snacks,473.0,3.3,29.2,5.0,69.0
2023-01-23,Faisalabad,Fast Food,Burgers,749.0,8.4,36.4,4.9,70.0
2023-01-23,Lahore,Fast Food,Pizza,483.0,17.3,32.2,4.6,-25.0
2023-01-23,Karachi,Fast Food,Fried Chicken,583.0,24.2,25.3,4.9,-31.0
2023-01-23,Karachi,Fast Food,Burgers,882.0,34.7,21.8,5.0,-20.0
2023-01-24,Faisalabad,Cafe,Breakfast,709.0,27.7,24.8,4.7,16.0
2023-01-24,Lahore,Cloud Kitchen,Italian,610.0,3.4,28.8,5.0,25.0
2023-01-24,Islamabad,Dessert,Bakery,1371.0,27.9,29.0,4.4,149.0
2023-01-24,Karachi,Cloud Kitchen,Chinese,2812.0,15.0,22.9,4.6,345.0
2023-01-24,Lahore,Fine Dining,Fusion,2563.0,4.6,33.0,4.0,442.0
2023-01-24,Lahore,Cafe,Breakfast,776.0,19.9,24.7,5.0,29.0
2023-01-24,Multan,Cloud Kitchen,Indian,723.0,19.4,28.8,4.6,38.0
2023-01-24,Islamabad,Fine Dining,Steakhouse,1956.0,35.5,52.0,4.0,-141.0
2023-01-25,Multan,Fast Food,Pizza,403.0,2.6,22.1,4.5,78.0
2023-01-25,Karachi,Fine Dining,Continental,2499.0,2.8,14.9,5.0,502.0
2023-01-25,Islamabad,Cloud Kitchen,Biryani,1519.0,13.3,32.3,4.6,147.0
2023-01-25,Islamabad,Fast Food,Burgers,779.0,14.6,19.2,5.0,81.0
2023-01-25,Lahore,Fast Food,Pizza,522.0,24.4,31.5,4.2,-93.0
2023-01-25,Karachi,Fine Dining,Steakhouse,6086.0,10.7,38.0,4.9,827.0
2023-01-25,Multan,Fine Dining,Steakhouse,2249.0,7.8,30.1,4.3,354.0
2023-01-25,Islamabad,Fast Food,Fried Chicken,552.0,10.0,26.2,4.6,48.0
2023-01-25,Islamabad,Cloud Kitchen,Indian,10333.616927901778,7.8,29.0,4.9,-5141.407519263499
2023-01-26,Karachi,Fast Food,Burgers,614.0,19.3,31.4,4.3,41.0
2023-01-26,Lahore,Fast Food,Burgers,377.0,5.6,32.5,4.7,-1.0
2023-01-26,Karachi,Fast Food,Fried Chicken,546.0,6.2,38.1,4.6,23.0
2023-01-26,Islamabad,Fast Food,Sandwiches,1248.0,11.6,25.2,4.6,224.0
2023-01-26,Multan,Fast Food,Pizza,1540.0,13.2,25.4,5.0,209.0
2023-01-26,Karachi,Cafe,Coffee & Snacks,695.0,2.8,32.8,4.0,112.0
2023-01-26,Karachi,Cafe,Coffee & Snacks,253.0,18.2,33.8,4.6,-23.0
2023-01-26,Karachi,Cloud Kitchen,Biryani,1331.0,11.6,34.2,4.4,144.0
2023-01-27,Lahore,Cloud Kitchen,Chinese,2427.0,2.6,39.2,4.5,487.0
2023-01-27,Islamabad,Fine Dining,Seafood,2526.0,5.8,27.0,4.5,365.0
2023-01-27,Karachi,Fine Dining,Seafood,2457.0,12.3,25.3,4.8,307.0
2023-01-27,Lahore,Dessert,Bakery,698.0,0.7,25.0,5.0,176.0
2023-01-27,Karachi,Cloud Kitchen,Italian,795.0,4.7,48.5,4.2,96.0
2023-01-28,Lahore,Fast Food,Sandwiches,463.0,25.4,31.7,4.5,-58.0
2023-01-28,Karachi,Fine Dining,Fusion,2082.0,9.4,42.4,4.7,281.0
2023-01-28,Lahore,Cloud Kitchen,Chinese,1743.0,12.6,32.1,4.9,223.0
2023-01-28,Karachi,Fast Food,Pizza,959.0,3.1,29.6,5.0,138.0
2023-01-28,Karachi,Cloud Kitchen,Chinese,920.0,17.6,32.7,4.5,46.0
2023-01-28,Lahore,Fine Dining,Steakhouse,5938.0,16.2,95.0,4.4,535.0
2023-01-28,Islamabad,Cloud Kitchen,Indian,1636.0,21.2,37.3,4.5,114.0
2023-01-28,Islamabad,Cloud Kitchen,Chinese,1654.0,1.6,33.3,4.5,346.0
2023-01-28,Lahore,Fast Food,Sandwiches,1065.0,2.2,31.5,4.3,206.0
2023-01-29,Karachi,Dessert,Bakery,738.0,15.4,43.2,4.9,97.0
2023-01-29,Karachi,Cloud Kitchen,Biryani,1064.0,15.2,34.7,4.8,75.0
2023-01-29,Lahore,Fast Food,Sandwiches,505.0,15.3,43.8,4.1,11.0
2023-01-29,Karachi,Cloud Kitchen,Biryani,2729.0,8.4,33.1,4.6,480.0
2023-01-29,Lahore,Fast Food,Pizza,896.0,1.6,27.1,4.6,221.0
2023-01-29,Islamabad,Fast Food,Burgers,564.0,15.5,49.0,4.0,66.0
2023-01-29,Islamabad,Cloud Kitchen,Italian,1201.0,10.8,40.9,4.5,115.0
2023-01-29,Faisalabad,Cafe,Sandwiches,366.0,12.0,43.8,4.5,27.0
2023-01-29,Faisalabad,Cloud Kitchen,Chinese,964.0,35.0,39.2,4.2,-80.0
2023-01-30,Lahore,Cloud Kitchen,Chinese,9539.645394693795,11.2,31.6,4.6,-5054.992346699844
2023-01-30,Lahore,Fast Food,Fried Chicken,307.0,18.3,26.3,4.2,14.0
2023-01-30,Faisalabad,Fast Food,Pizza,1136.0,13.6,31.9,4.0,169.0
2023-01-30,Islamabad,Fine Dining,Seafood,2876.0,19.7,25.2,4.7,144.0
2023-01-31,Lahore,Cloud Kitchen,Biryani,1204.0,4.8,54.8,4.7,202.0
2023-01-31,Lahore,Fast Food,Fried Chicken,1095.0,5.0,29.7,5.0,194.0
2023-01-31,Islamabad,Cloud Kitchen,Biryani,1911.0,8.5,30.7,4.9,281.0
2023-01-31,Multan,Dessert,Bakery,464.0,27.0,36.9,4.4,-38.0
2023-01-31,Karachi,Cafe,Breakfast,868.0,1.5,25.1,4.7,145.0
2023-01-31,Lahore,Fine Dining,Seafood,956.0,2.8,30.3,4.8,176.0
2023-01-31,Faisalabad,Fast Food,Pizza,492.0,11.9,30.5,4.7,19.0
2023-01-31,Islamabad,Fast Food,Burgers,506.0,2.8,25.5,5.0,55.0
2023-01-31,Lahore,Fast Food,Fried Chicken,15759.39254907516,14.6,39.5,4.1,-4685.768174419257
2023-02-01,Lahore,Fast Food,Sandwiches,1257.0,3.4,22.2,4.8,308.0
2023-02-01,Karachi,Dessert,Ice Cream,273.0,4.7,31.8,4.4,40.0
2023-02-01,Lahore,Cafe,Bakery,830.0,1.3,33.5,4.5,211.0
2023-02-01,Karachi,Dessert,Cakes,233.0,12.0,27.9,4.3,16.0
2023-02-01,Karachi,Cafe,Coffee & Snacks,550.0,6.4,30.8,4.5,20.0
2023-02-01,Lahore,Cafe,Sandwiches,711.0,10.7,26.8,4.9,125.0
2023-02-01,Karachi,Cloud Kitchen,Italian,802.0,9.3,28.1,4.7,120.0
2023-02-01,Lahore,Cloud Kitchen,Italian,1281.0,5.6,27.2,4.6,208.0
2023-02-01,Lahore,Cloud Kitchen,Biryani,703.0,11.2,37.8,3.7,77.0
2023-02-02,Karachi,Cloud Kitchen,Chinese,1037.0,3.5,40.4,4.1,164.0
2023-02-02,Faisalabad,Cloud Kitchen,Italian,1168.0,19.7,32.2,4.5,-2.0
2023-02-02,Islamabad,Cloud Kitchen,Italian,1078.0,17.8,45.7,4.9,71.0
2023-02-02,Islamabad,Fast Food,Burgers,809.0,20.2,18.9,4.3,54.0
2023-02-02,Multan,Fast Food,Burgers,466.0,9.2,48.9,4.0,-36.0
2023-02-02,Islamabad,Cloud Kitchen,Chinese,1194.0,8.8,26.1,4.8,141.0
2023-02-03,Islamabad,Cloud Kitchen,Italian,1008.0,12.5,45.1,4.2,80.0
2023-02-03,Islamabad,Fast Food,Fried Chicken,568.0,13.3,33.6,3.3,47.0
2023-02-03,Islamabad,Fine Dining,Seafood,1369.0,3.4,38.6,4.4,135.0
2023-02-03,Multan,Cafe,Bakery,433.0,12.0,29.2,5.0,-1.0
2023-02-03,Karachi,Dessert,Sweets,1050.0,16.9,45.9,4.1,190.0
2023-02-03,Islamabad,Cloud Kitchen,Italian,1341.0,5.1,30.9,4.4,234.0
2023-02-03,Karachi,Dessert,Ice Cream,636.0,12.8,44.4,4.6,95.0
2023-02-03,Karachi,Fast Food,Fried Chicken,564.0,6.6,31.2,4.9,66.0
2023-02-03,Multan,Dessert,Bakery,588.0,6.3,38.8,4.6,117.0
2023-02-03,Lahore,Fast Food,Fried Chicken,1110.0,7.7,22.1,4.7,188.0
2023-02-04,Lahore,Cafe,Coffee & Snacks,658.0,16.8,37.6,4.0,35.0
2023-02-04,Karachi,Fine Dining,Seafood,3612.0,4.3,29.9,4.6,617.0
2023-02-04,Lahore,Cloud Kitchen,Chinese,2454.0,19.7,36.4,3.7,171.0
2023-02-04,Faisalabad,Dessert,Bakery,225.0,6.2,120.8,4.5,-105.0
2023-02-05,Lahore,Cloud Kitchen,Italian,1696.0,7.0,33.5,4.2,284.0
2023-02-05,Faisalabad,Cloud Kitchen,Indian,1532.0,3.3,41.1,4.3,304.0
2023-02-05,Faisalabad,Cloud Kitchen,Biryani,1139.0,10.4,27.6,4.9,139.0
2023-02-05,Karachi,Cloud Kitchen,Chinese,1274.0,2.0,26.7,4.3,223.0
2023-02-05,Karachi,Cafe,Sandwiches,1217.0,10.4,42.7,4.2,217.0
2023-02-06,Lahore,Dessert,Sweets,394.0,28.4,39.4,4.5,-25.0
2023-02-06,Lahore,Dessert,Bakery,464.0,17.5,15.0,5.0,57.0
2023-02-06,Lahore,Cloud Kitchen,Biryani,712.0,25.7,37.0,4.2,-71.0
2023-02-06,Islamabad,Fine Dining,Fusion,1362.0,11.9,28.7,4.3,125.0
2023-02-06,Karachi,Cafe,Bakery,298.0,18.7,35.7,4.4,-35.0
2023-02-06,Karachi,Dessert,Cakes,200.0,2.2,29.1,4.6,-26.0
2023-02-06,Faisalabad,Fast Food,Sandwiches,575.0,20.5,36.9,4.6,-42.0
2023-02-06,Faisalabad,Cloud Kitchen,Biryani,1528.0,0.9,24.5,4.7,333.0
2023-02-07,Islamabad,Cafe,Bakery,231.0,3.2,22.4,4.6,47.0
2023-02-07,Karachi,Fast Food,Burgers,528.0,15.2,23.0,5.0,18.0
2023-02-07,Karachi,Fast Food,Sandwiches,686.0,18.4,38.5,4.5,41.0
2023-02-07,Islamabad,Cloud Kitchen,Indian,854.0,13.5,98.8,4.3,12.0
2023-02-07,Islamabad,Fast Food,Fried Chicken,450.0,3.7,47.6,4.3,62.0
2023-02-07,Faisalabad,Fast Food,Burgers,1314.0,21.9,36.2,4.9,187.0
2023-02-07,Islamabad,Fast Food,Pizza,252.0,13.7,27.4,4.2,-8.0
2023-02-08,Multan,Fast Food,Burgers,478.0,14.2,36.8,4.4,29.0
2023-02-08,Multan,Dessert,Bakery,217.0,16.0,37.1,4.5,-11.0
2023-02-08,Lahore,Cloud Kitchen,Biryani,1476.0,4.7,44.4,4.3,271.0
2023-02-08,Karachi,Cloud Kitchen,Chinese,1264.0,22.9,14.3,5.0,22.0
2023-02-08,Lahore,Cloud Kitchen,Italian,798.0,24.1,34.6,4.5,-31.0
2023-02-08,Karachi,Cloud Kitchen,Italian,1825.0,28.2,25.3,4.8,90.0
2023-02-09,Multan,Cloud Kitchen,Italian,478.0,10.8,37.2,4.5,16.0
2023-02-09,Karachi,Fast Food,Fried Chicken,1050.0,8.4,38.1,4.4,142.0
2023-02-09,Karachi,Cloud Kitchen,Biryani,450.0,6.2,26.4,4.6,-40.0
2023-02-09,Islamabad,Fine Dining,Fusion,2892.0,25.8,26.8,4.8,98.0
2023-02-09,Karachi,Dessert,Cakes,389.0,15.5,35.6,4.6,111.0
2023-02-09,Lahore,Fast Food,Burgers,1242.0,11.5,35.5,4.7,209.0
2023-02-09,Lahore,Fast Food,Burgers,425.0,16.3,29.2,5.0,16.0
2023-02-09,Islamabad,Dessert,Cakes,432.0,18.6,17.3,4.5,14.0
2023-02-09,Islamabad,Cafe,Coffee & Snacks,817.0,20.4,28.4,4.4,70.0
2023-02-09,Lahore,Cloud Kitchen,Italian,1118.0,15.9,31.4,4.1,94.0
2023-02-10,Lahore,Fast Food,Burgers,768.0,14.3,21.9,3.9,80.0
2023-02-10,Lahore,Dessert,Ice Cream,366.0,5.1,36.0,4.2,46.0
2023-02-10,Islamabad,Fast Food,Burgers,364.0,7.9,19.1,4.7,31.0
2023-02-10,Lahore,Cafe,Bakery,268.0,12.7,40.9,4.8,-12.0
2023-02-10,Islamabad,Fast Food,Pizza,213.0,35.8,33.6,4.3,-50.0
2023-02-11,Karachi,Cafe,Coffee & Snacks,806.0,23.4,19.4,4.5,93.0
2023-02-11,Karachi,Cloud Kitchen,Italian,1421.0,11.0,34.3,4.1,168.0
2023-02-11,Lahore,Cloud Kitchen,Chinese,1399.0,12.5,39.2,4.6,130.0
2023-02-11,Lahore,Cafe,Sandwiches,346.0,25.5,14.5,5.0,-22.0
2023-02-12,Karachi,Cloud Kitchen,Biryani,2462.0,12.8,29.6,4.9,352.0
2023-02-12,Lahore,Fast Food,Sandwiches,650.0,10.3,34.7,4.8,30.0
2023-02-12,Karachi,Cloud Kitchen,Italian,701.0,9.0,29.3,4.9,106.0
2023-02-12,Lahore,Cafe,Bakery,455.0,8.7,35.0,4.1,87.0
2023-02-12,Multan,Fast Food,Fried Chicken,606.0,5.8,41.0,4.9,121.0
2023-02-12,Lahore,Cloud Kitchen,Indian,942.0,21.2,31.5,5.0,-4.0
2023-02-12,Karachi,Fine Dining,Steakhouse,1194.0,12.1,37.0,4.3,152.0
2023-02-13,Islamabad,Fast Food,Fried Chicken,725.0,13.0,28.5,4.5,60.0
2023-02-13,Karachi,Cloud Kitchen,Chinese,664.0,16.5,34.9,4.5,34.0
2023-02-13,Karachi,Fast Food,Sandwiches,1221.0,3.6,49.1,4.1,248.0
